"","kernel","degree","gamma","coefficient","cost","precision"
"result.34","polynomial","1","148.413159102577","3","148.413159102577",0.703125
"result.35","polynomial","1","148.413159102577","3","8103.08392757538",0.59375
"result.36","polynomial","3","0.00673794699908547","0","2.71828182845905",0.703125
"result.37","polynomial","3","0.00673794699908547","0","148.413159102577",0.703125
"result.38","polynomial","3","0.00673794699908547","0","8103.08392757538",0.703125
"result.39","polynomial","3","0.00673794699908547","1","2.71828182845905",0.703125
"result.40","polynomial","3","0.00673794699908547","1","148.413159102577",0.703125
"result.41","polynomial","3","0.00673794699908547","1","8103.08392757538",0.71875
"result.42","polynomial","3","0.00673794699908547","2","2.71828182845905",0.703125
"result.43","polynomial","3","0.00673794699908547","2","148.413159102577",0.703125
"result.44","polynomial","3","0.00673794699908547","2","8103.08392757538",0.71875
"result.45","polynomial","3","0.00673794699908547","3","2.71828182845905",0.703125
"result.46","polynomial","3","0.00673794699908547","3","148.413159102577",0.703125
"result.47","polynomial","3","0.00673794699908547","3","8103.08392757538",0.71875
"result.48","polynomial","3","1","0","2.71828182845905",0.6875
"result.49","polynomial","3","1","0","148.413159102577",0.6875
"result.50","polynomial","3","1","0","8103.08392757538",0.6875
"result.51","polynomial","3","1","1","2.71828182845905",0.71875
"result.52","polynomial","3","1","1","148.413159102577",0.71875
"result.53","polynomial","3","1","1","8103.08392757538",0.734375
"result.54","polynomial","3","1","2","2.71828182845905",0.71875
"result.55","polynomial","3","1","2","148.413159102577",0.71875
"result.56","polynomial","3","1","2","8103.08392757538",0.71875
"result.57","polynomial","3","1","3","2.71828182845905",0.71875
"result.58","polynomial","3","1","3","148.413159102577",0.71875
"result.59","polynomial","3","1","3","8103.08392757538",0.703125
"result.60","polynomial","3","148.413159102577","0","2.71828182845905",0.46875
"result.61","polynomial","3","148.413159102577","0","148.413159102577",0.546875
"result.62","polynomial","3","148.413159102577","0","8103.08392757538",0.578125
"result.63","polynomial","3","148.413159102577","1","2.71828182845905",0.484375
"result.64","polynomial","3","148.413159102577","1","148.413159102577",0.46875
"result.65","polynomial","3","148.413159102577","1","8103.08392757538",0.640625
"result.66","polynomial","3","148.413159102577","2","2.71828182845905",0.5
"result.67","polynomial","3","148.413159102577","2","148.413159102577",0.484375
"result.68","polynomial","3","148.413159102577","2","8103.08392757538",0.46875
